,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,trending,labels,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,12,True,31054181.333333332,76.0,2020-08-27 02:23:15.253,2024-01-12 16:01:50.999,1.0,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,8,False,17357062.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,8,False,6542413.333333334,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,8,False,4577046.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
4,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,8,False,3484472.666666667,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,7,False,2870128.0,,,,1.0,-1.0,['eth'],,,,,,,,,,,,,,,,,,,
6,True,algo,ALGO - Algorand,https://github.com/algorand,"Algorand removes the technical barriers that for years undermined mainstream blockchain adoption: decentralization,..",cryptocurrency,7,False,448816.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
7,True,clny,CLNY - MarsColony,https://github.com/JoinColony,Hybrid token that contains attributes of government and utility tokens. Token holders can use this token to take part..,others,7,False,469054.0,,,,1.0,,['one'],,,,,,,,,,,,,,,,,,,
8,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,7,False,557704.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
9,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,"Nervos CKByte (Common Knowledge Byte) is the native token of the Nervos Common Knowledge Base, a multi-asset, store of..",others,7,False,728936.6666666665,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,7,False,1263377.3333333335,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
11,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,7,False,2055633.3333333335,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12,True,xrp,XRP - XRP,https://github.com/ripple,"Ripple (XRP) is one of the fastest and most scalable digital asset, enabling real-time global payments anywhere in the..",cryptocurrency,6,False,241124.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,True,luna,LUNA - Terra,https://github.com/terra-money,A stable foundation for the future of decentralized finance.,defi,6,False,143418.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"The LINK Network provides smart contracts with data, bank payments and access to APIs.",web3,6,False,212398.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
15,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,6,False,150131.3333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
16,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,6,False,278199.3333333334,,,,1.0,,,,,,,,,,,,,,,,,,,,,
17,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,6,False,412824.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,6,False,276862.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,True,aleo,ALEO,https://github.com/AleoHQ,No description.,others,6,False,88757.33333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,smart-contract-platform,6,False,131677.3333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
21,True,hbar,HBAR - Hedera,https://github.com/hashgraph,Decentralized public network for you to make your digital world exactly as it should be yours. Whether youre a startup..,exchange-tokens,6,False,99286.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
22,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,6,False,139101.3333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,
23,True,mana,MANA - Decentraland,https://github.com/decentraland,"Decentraland will be a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and..",metaverse,6,False,94358.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
24,True,ar,AR - Arweave,https://github.com/ArweaveTeam,A new data storage blockchain protocol based on a novel proof of access consensus mechanism that creates truly..,web3,6,False,318324.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
25,True,flow,FLOW - Flow,https://github.com/onflow,"Fast, decentralized, and developer-friendly blockchain, designed as the foundation for a new generation of..",metaverse,6,False,78668.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,6,False,306896.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
27,True,celo,CELO - Celo,https://github.com/celo-org,"A platform for fast, secure, stable digital payments to any mobile number at a fraction of todays cost.",cryptocurrency,6,False,81510.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
28,True,snx,SNX - Synthetix Network Token,https://github.com/Synthetixio,Synthetix Network Token will be a decentralised payment network where users transact directly in a price-stable..,defi,6,False,121444.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
29,True,scrt,SCRT - Secret,https://github.com/scrtlabs,"Native coin of the Secret Network, the first blockchain that enables general-purpose private / secure computation...",privacy-coins,6,False,60982.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
30,True,gno,GNO - Gnosis,https://github.com/gnosis,Gnosis builds revolutionary market-driven forecasting technology to let you shape the future.,exchange-tokens,6,False,61420.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
31,True,maid,MAID - MaidSafeCoin,https://github.com/maidsafe,"Blockchain based storage solutions that store a data identifier (e.g. hash) in a blockchain, but store the data..",web3,6,False,152465.33333333328,,,,1.0,,,,,,,,,,,,,,,,,,,,,
32,True,nim,NIM - Nimiq,https://github.com/nimiq,Blockchain designed for simplicity. Nimiq aims to be the best performing and easiest-to-use decentralized payment..,others,6,False,254712.6666666667,,,,1.0,,,,,,,,,,,,,,,,,,,,,
33,True,neo,NEO - NEO,https://github.com/neo-project,Non-profit community-based blockchain project that utilizes blockchain technology and digital identity to digitize..,smart-contract-platform,5,False,11212.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
34,True,avax,AVAX - Avalanche,https://github.com/ava-labs,Open-source platform for launching decentralized finance applications and enterprise blockchain deployments in one..,smart-contract-platform,5,False,45870.0,,,,2.0,,['avax'],,,,,,,,,,,,,,,,,,,
35,True,matic,MATIC - Polygon,https://github.com/maticnetwork,Matic Network brings massive scale to Ethereum using an adapted version of Plasma with PoS based side chains.,smart-contract-platform,5,False,36634.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
36,True,aave,AAVE - Aave,https://github.com/aave,Decentralized Lending on Ethereum Network - Lending Ethereum.,defi,5,False,28528.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
37,True,sushi,SUSHI - Sushi,https://github.com/sushiswap,"DeFi protocol that is completely community-driven, serving up delicious interest for your held crypto assets. On..",amm,5,False,20788.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
38,True,cake,CAKE - PancakeSwap,https://github.com/pancakeswap,"Automated market maker (AMM) that allows two tokens to be exchanged on the Binance Smart Chain. It is fast, cheap, and..",amm,5,False,20306.0,,,,2.0,,['bsc'],,,,,,,,,,,,,,,,,,,
39,True,zec,ZEC - Zcash,https://github.com/zcash,Decentralized and open-source cryptocurrency that provides strong privacy protections. Shielded transactions hide the..,privacy-coins,5,False,26952.666666666668,,,,1.0,,,,,,,,,,,,,,,,,,,,,
40,True,vet,VET - VeChain,https://github.com/vechain,Worlds leading blockchain platform offering Blockchain-as-a-Service to enterprises for products and information. By..,iot,5,False,14344.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
41,True,klay,KLAY - Klaytn,https://github.com/klaytn,"Public blockchain platform of the leading South Korean mobile platform, Kakao. Dedicated to validating the value and..",others,5,False,16106.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
42,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,5,False,17541.333333333336,,,,1.0,,,,,,,,,,,,,,,,,,,,,
43,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,5,False,9502.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
44,True,mina,MINA - Mina Protocol,https://github.com/MinaProtocol,"The worlds lightest blockchain, powered by participants. Mina is building a privacy-preserving gateway between the..",others,5,False,27418.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
45,True,zil,ZIL - Zilliqa,https://github.com/Zilliqa,Zilliqa will be the worlds first high-throughput public blockchain platform - designed to scale to thousands of..,smart-contract-platform,5,False,8220.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
46,True,dydx,DYDX - dYdX,https://github.com/dydxfoundation,"With an industry-leading product and a strong trajectory of organic growth, the dYdX Layer 2 protocol is ready for the..",exchange-tokens,5,False,15906.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
47,True,movr,MOVR - Moonriver,https://github.com/PureStake,Fully Ethereum-compatible smart contract parachain on Kusama. Due to this Ethereum-like design and developer-friendly..,smart-contract-platform,5,False,49262.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
48,True,ant,ANT - Aragon,https://github.com/aragon,Aragon was born to bring transparency and independent governance to the forefront of managing an organization. We want..,web3,5,False,8402.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
49,True,ocean,OCEAN - Ocean Protocol,https://github.com/oceanprotocol,A Decentralized Data Exchange Protocol to Unlock Data for AI.,web3,5,False,35056.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
50,True,lsk,LSK - Lisk,https://github.com/LiskHQ,Lisk makes it easy for developers to build and deploy blockchain applications in JavaScript. Develop and publish..,smart-contract-platform,5,False,32276.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
51,True,rgt,RGT - Rari Governance Token,https://github.com/Rari-Capital,The Rari Governance Token is the native token behind Rari Capital. Rari Capital is a non-custodial DeFi robo-advisor..,defi,5,False,16992.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
52,True,bico,BICO - Biconomy,https://github.com/bcnmy,Biconomy provides plug-n-play APIs to make web3.0 user-friendly & frictionless. We are on a mission to make the..,others,5,False,16346.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
53,True,req,REQ - Request,https://github.com/RequestNetwork,"A decentralized network built on top of Ethereum, which allows anyone, anywhere to request a payment.",defi,5,False,37342.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
54,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Trust Wallet Token (TWT) 511 is a utility token that can only be used within the app. This will be used to incentivize..,exchange-tokens,5,False,8910.0,,,,1.0,,['bsc'],,,,,,,,,,,,,,,,,,,
55,True,mngo,MNGO - Mango,https://github.com/blockworks-foundation,No description.,exchange-tokens,5,False,38596.0,,,,1.0,,['sol'],,,,,,,,,,,,,,,,,,,
56,True,kilt,KILT - KILT Protocol,https://github.com/KILTprotocol,"Open-source blockchain protocol for issuing verifiable, revocable, and anonymous claims-based credentials in Web 3.0...",web3,5,False,26088.0,,,,1.0,,['dot'],,,,,,,,,,,,,,,,,,,
57,True,hns,HNS - Handshake,https://github.com/handshake-org,Decentralized naming and certificate authority.,web3,5,False,8996.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
58,True,kar,KAR - Karura,https://github.com/AcalaNetwork,"All-in-one DeFi hub of Kusama. Founded by the Acala Foundation, Karura is a scalable, EVM-compatible network optimized..",others,5,False,49164.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
59,True,xdata,XDATA - Streamr XDATA,https://github.com/streamr-dev,Unstoppable real-time data for unstoppable apps.,iot,5,False,21142.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
60,True,sbr,SBR - Saber,https://github.com/saber-hq,Cross-chain stablecoin exchange on Solana.,exchange-tokens,5,False,32003.999999999996,,,,1.0,,,,,,,,,,,,,,,,,,,,,
61,True,orca,ORCA - Orca,https://github.com/orca-so,Most user-friendly DEX on Solana. Orca is one of the first general-purpose AMMs launched on Solana. Users can swap..,exchange-tokens,5,False,19370.0,,,,1.0,,['sol'],,,,,,,,,,,,,,,,,,,
62,True,mta,MTA - mStable Governance Token: Meta,https://github.com/mstable,The Meta token aims to coordinate decentralised governance by incentivising stakeholders to act in the best interests..,defi,5,False,10154.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
63,True,tnt,TNT - Tierion,https://github.com/tierion,"Use the blockchain as a global platform to verify any data, file, or business process. Developer tools & API to anchor..",others,5,False,19724.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
64,True,xym,XYM - Symbol,https://github.com/symbol,"Trusted and secure enterprise blockchain that smooths business friction, increasing the flow of data and innovation to..",others,5,False,9350.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
65,True,btrst,BTRST - Braintrust,https://github.com/snowfork,"First decentralized talent network that connects skilled, vetted knowledge workers with the worlds most reputable..",web3,5,False,48272.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
66,True,nmr,NMR - Numeraire,https://github.com/numerai,Numeraire: A Cryptographic Token for Coordinating Machine Intelligence and Preventing Overfitting.,defi,4,False,1304.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
67,True,icx,ICX - ICON,https://github.com/icon-project,ICON wants to be one of the largest blockchain networks in the world. ICON will boast independent blockchains..,smart-contract-platform,4,False,4998.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
68,True,comp,COMP - Compound,https://github.com/compound-finance,"Created by the Compound Finance Team, Compound Governance Token (COMP) or (sometimes verbally Compound Coin) will be..",defi,4,False,1694.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
